id,numero_ot,activo_codigo,tipo,estado,prioridad,descripcion,tecnico_id,grupo_id,sector_solicitante_id,fecha_apertura,fecha_cierre,observaciones,created_at,fecha_notificacion,notificado_por
29934cf2-14d9-419d-83a0-a4ac75def766,10,B-CIRU-ELEC-013,CORRECTIVA,EN_PROGRESO,ALTA,Corriente de fuga supera límite normativo IEC 60601,b994ab55-c78a-450a-8195-7ec8d1c024b1,G1,QUIR,2025-07-01 10:00:00,,Equipo fuera de servicio hasta resolución.,2026-08-17 23:31:20.968053,,
387a8617-c379-4ce6-bfd6-b53866a0be03,18,B-DIAG-ECOG-024,PREVENTIVA,EN_PROGRESO,BAJA,MP Anual Ecógrafo,15486687-02cd-4379-801a-cd546ccf223d,G3,CARDIO,2025-06-24 08:00:00,,Prueba con phantom en curso.,2026-08-17 23:31:20.968053,,
39395540-6f98-4c4e-9be8-a1cf7fe1fe52,23,B-LABO-CASB-003,CORRECTIVA,CERRADA,ALTA,Alarma de flujo de aire activa de forma continua,e9825ec5-5e51-48de-9b58-3d115b58f6a7,G4,FARM,2025-05-10 08:00:00,2025-05-12 14:00:00,Se reemplazó filtro HEPA. Cabina operativa.,2026-08-17 23:31:20.968053,,
449137aa-f7da-4460-b880-df707a32a356,12,B-TERA-MOMU-002,CORRECTIVA,CERRADA,ALTA,"Módulo de SpO2 sin señal, no detecta sensor",3f56b50c-56a3-4b47-9595-4df60f2a6ef0,G2,UTI,2025-02-20 16:00:00,2025-02-22 11:00:00,Se reemplazó módulo SpO2. Monitor operativo.,2026-08-17 23:31:20.968053,,
49c19b5d-a517-4276-9b2e-9a0ad6a175de,26,B-INTR-DESF-069,CORRECTIVA,ABIERTA,ALTA,Paleta externa izquierda sin respuesta al botón de descarga,,G5,PAB11,2025-07-30 11:00:00,,,2026-08-17 23:31:20.968053,,
4a9f6756-bc80-4593-b2e0-1169127cb7c0,8,B-CIRU-ELEC-007,CORRECTIVA,CERRADA,MEDIA,"Modo coagulación no responde, solo funciona en corte",b994ab55-c78a-450a-8195-7ec8d1c024b1,G1,OPGIN,2025-04-10 09:00:00,2025-04-12 14:00:00,Se reemplazó placa de control. Equipo funcionando correctamente.,2026-08-17 23:31:20.968053,,
57c73c86-9f3e-41dc-92cf-a0cf97612655,14,B-TERA-INCU-006,CORRECTIVA,ABIERTA,CRITICA,"Temperatura interior no alcanza setpoint, se estabiliza en 34°C",,G2,NEO,2025-07-20 06:00:00,,,2026-08-17 23:31:20.968053,,
6048078a-fb6d-485b-8c39-54f39460d7d1,13,B-TERA-BOMJ-120,CORRECTIVA,CERRADA,MEDIA,Alarma de oclusión se dispara sin causa real,3f56b50c-56a3-4b47-9595-4df60f2a6ef0,G2,UTIP,2025-03-15 11:00:00,2025-03-17 09:00:00,Se limpió sensor de presión. Equipo verificado.,2026-08-17 23:31:20.968053,,
76fe9468-a51b-4224-ba29-e738b0df9ec0,17,B-DIAG-ECOG-020,CORRECTIVA,CERRADA,ALTA,Pérdida de imagen en transductor convex,15486687-02cd-4379-801a-cd546ccf223d,G3,OPGIN,2025-04-05 09:00:00,2025-04-08 15:00:00,Se reemplazó transductor convex. Equipo operativo.,2026-08-17 23:31:20.968053,,
77d42e81-75d9-4dd0-bdc3-916084ea155c,20,B-CIRU-LACA-001,PREVENTIVA,ABIERTA,BAJA,MP Anual Lavadora de Catéteres,,G3,HEMOD,2025-09-03 08:00:00,,,2026-08-17 23:31:20.968053,,
90de5210-e369-40a7-91cd-c48a343f9de0,21,B-LABO-CENT-014,CORRECTIVA,ABIERTA,MEDIA,Vibración excesiva y ruido anormal a altas RPM,,G4,HEMOS,2025-07-25 10:00:00,,,2026-08-17 23:31:20.968053,,
a17748b4-7379-42d6-a3a5-7a9f6b493a4f,11,B-CONS-CAMA-019,CORRECTIVA,ABIERTA,ALTA,Pérdida de imagen en monitor de video durante procedimiento,,G1,URO,2025-07-15 08:00:00,,,2026-08-17 23:31:20.968053,,
a66620a2-de15-4f71-bf0c-5ceb0f651369,22,B-LABO-AGIT-002,PREVENTIVA,CERRADA,BAJA,MP Anual Agitador de Plaquetas,e9825ec5-5e51-48de-9b58-3d115b58f6a7,G4,HEMOT,2025-01-04 09:00:00,2025-01-04 11:00:00,MP realizado sin novedades.,2026-08-17 23:31:20.968053,,
b028dfee-f31b-46c2-8a96-7d4e11ac957b,27,B-INTR-SATD-001,CORRECTIVA,EN_PROGRESO,MEDIA,"Lectura de SpO2 errática, difiere ±8% respecto a equipo referencia",a2f194bf-9643-4669-8215-65795b0da93c,G5,ENF,2025-07-18 16:00:00,,Se solicitó reemplazo de sensor.,2026-08-17 23:31:20.968053,,
c4c97ec4-96ef-4b25-be09-d1bc57e82005,7,B-ANES-MAAN-034,CORRECTIVA,CERRADA,CRITICA,Alarma de fuga de gas persistente durante cirugía,b994ab55-c78a-450a-8195-7ec8d1c024b1,G1,ANES,2025-03-05 07:30:00,2025-03-05 12:00:00,Se reemplazó válvula APL. Prueba de estanqueidad superada.,2026-08-17 23:31:20.968053,,
cae71c58-f7ef-48fa-915a-c76bb0601d7b,16,B-TERA-RESP-033,PREVENTIVA,CERRADA,BAJA,MP Anual Respirador,3f56b50c-56a3-4b47-9595-4df60f2a6ef0,G2,EMER,2025-04-29 08:00:00,2025-04-29 15:00:00,MP realizado. Prueba con pulmón de prueba superada.,2026-08-17 23:31:20.968053,,
d95d66a7-6c81-4c9d-aa09-471c33a4922b,25,B-TERA-DESF-067,CORRECTIVA,CERRADA,CRITICA,"Equipo no carga a 360J, se detiene en 200J con alarma de error",a2f194bf-9643-4669-8215-65795b0da93c,G5,UCO,2025-04-20 08:00:00,2025-04-21 11:00:00,Se reemplazó capacitor de descarga. Prueba superada.,2026-08-17 23:31:20.968053,,
dbeac283-4cda-4934-af4d-cf2a0cd3243f,24,B-LABO-MPIP-004,CORRECTIVA,CERRADA,MEDIA,"Calibración fuera de rango, error superior al 5% en volumen nominal",e9825ec5-5e51-48de-9b58-3d115b58f6a7,G4,HEMOT,2025-03-01 09:00:00,2025-03-01 11:00:00,Se recalibró émbolo y se emitió certificado de calibración.,2026-08-17 23:31:20.968053,,
e77dc7fc-9adf-4665-bdef-89513116e969,9,B-ANES-MAAN-036,PREVENTIVA,CERRADA,BAJA,MP Anual Máquina de Anestesia,b994ab55-c78a-450a-8195-7ec8d1c024b1,G1,QUIR,2025-05-23 08:00:00,2025-05-23 16:00:00,MP realizado sin novedades. Próximo MP: mayo 2026.,2026-08-17 23:31:20.968053,,
f9a1887b-5250-4811-b89d-d7f5a03a4c61,15,B-TERA-MOMU-006,PREVENTIVA,EN_PROGRESO,BAJA,MP Anual Monitor Multiparamétrico,3f56b50c-56a3-4b47-9595-4df60f2a6ef0,G2,UTI,2025-05-08 08:00:00,,Calibración con simulador en curso.,2026-08-17 23:31:20.968053,,
fb2dabf2-66fa-45c5-8fa4-a2b9781b25ac,19,B-COMO-INYE-004,CORRECTIVA,ABIERTA,MEDIA,Detector de presión interrumpe ciclo de inyección antes de completar,,G3,RMN,2025-07-10 14:00:00,,,2026-08-17 23:31:20.968053,,
feb711ca-07c6-4b7d-bde0-924227146054,28,B-CARD-TEAM-033,PREVENTIVA,EN_PROGRESO,BAJA,MP Anual Tensiómetro,a2f194bf-9643-4669-8215-65795b0da93c,G5,CARDIO,2025-08-09 09:00:00,,Calibración de manómetro en curso.,2026-08-17 23:31:20.968053,,
